SECTION,LINK
2.1 Design and Requirements,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Technical%20Specifications%20Template.docx
3.1.2 Greenfield vs Brownfield,https://www.adlittle.com/sites/default/files/viewpoints/adl_utilities_contribution_to_fiber_deployment.pdf
3.1.2 Greenfield vs Brownfield,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Easement%20and%20Right%20of%20Way%20Template.docx
3.2.1.2 Network Span Identification,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Technical%20Specifications%20Template.docx
3.2.2 Survey,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Path%20Survey%20Report%20Template.XLSX
3.2.3 Construction Planning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Technical%20Specifications%20Template.docx              
3.2.3 Construction Planning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Gantt%20Diagram%20Template.xlsx
3.2.3 Construction Planning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Technical%20Specifications%20Template.docx
3.2.3 Construction Planning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Gantt%20Diagram%20Template.xlsx
4.1.2 Pre-qualification form,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Pre-Qualification%20Template.xlsx
4.1.2 Pre-qualification form,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Pre-Qualification%20Template.xlsx
4.2 RFx Document,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20RFI_RFP%20Template.docx
4.3 RFx Evaluation Process,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20RFI_RFP%20Template.docx
5.1.3 Project Execution ,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Project%20Tracking%20Template.xlsx
5.1.3 Project Execution ,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Project%20Tracking%20Template.xlsx
5.1.3 Project Execution ,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Acceptance%20Checklist%20Template.xlsx
6.1 General Acceptance Process,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Acceptance%20Checklist%20Template.xlsx
6.4 Definition of acceptance requirements,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Fiber%20Construction%20Acceptance%20Checklist%20Template.xlsx
