SECTION,LINK
2.4 Capacity Dimensioning,
3.3 Master Database Creation,https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Site_Location_Validation_Questionnaire.xlsx
3.3 Master Database Creation,"href=""https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Site_Location_Validation_Questionnaire.xlsx"">Site Location Validation Questionnaire template"
3.3 Master Database Creation,"href=""https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Master_Database.xlsx"">Master Database Template"
3.4 Link Budget,"href=""https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Primers/Propagation_Models.pdf"" > Primer on Propagation Models."
3.10 RF Site Configuration Definition,"href=""https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Site_Location_Validation_Questionnaire.xlsx"">Site Location Validation Questionnaire"
4.2.9 RF Equipment BOQ Generation,"href=""https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/RAN_HLD_Template.xlsx"">RAN HLD Template"
5.2 HLD Recommendation Generation,"href=""https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/HLD_Report_Template.docx"">HLD Report Template"
,
,
,
,
,
,
,
