SECTION,LINK
"2.1 Technical Site Survey """,site_survey.html
"2.1 Technical Site Survey """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20A_Technical%20Site%20Survey%20Report.xlsx
"2.2 Architectural and Engineering Analysis """,https://www.freecadweb.org/downloads.php
3.1.1 Type of Primary Structures ,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Primers/Primer%20for%20Construction%20Guidelines%20for%20Tower%20Foundations%20and%20Anchors.docx
3.1.3 Standards and Regulations ,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Primers/Primer%20for%20Standard%20and%20Regulations_Civil%20Aviation%2C%20Environmental%20and%20Radiation%20Emissions.docx
4.1 Vendor Evaluation and Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20B_Site%20Construction%20RFI_RFP_template.docx
4.1 Vendor Evaluation and Selection,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20B_Site%20Construction%20RFI_RFP_template.docx
"4.1.2 Pre-qualification form """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20C_Site%20Construction%20Pre-qualification%20Template.xlsx
"4.2 RFx Document """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20B_Site%20Construction%20RFI_RFP_template.docx
"4.3 RFx Evaluation Process """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20B_Site%20Construction%20RFI_RFP_template.docx
"5.2 Vendor Management: Lead Times and Project Plan """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20D_Gantt%20diagram%20for%20Site%20Construction.xlsx
"5.3 Vendor Management: Reporting and Milestone Tracking """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20E_Site%20Construction%20Milestones%20Tracking.xlsx
"5.3 Vendor Management: Reporting and Milestone Tracking """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20A_Technical%20Site%20Survey%20Report.xlsx
"5.3 Vendor Management: Reporting and Milestone Tracking """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20F_Site%20Construction%20Acceptance%20Checklist.xlsx
"5.4 Vendor Management: Site Construction Acceptance """,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Deployment/Templates/Template%20F_Site%20Construction%20Acceptance%20Checklist.xlsx
