SECTION,LINK
3.1.1 Service Design and Modeling,network_monitoring_architecture.html
3.1.1 Service Design and Modeling,mobile_core_archi.html
3.1.5 Performance Management ,noc.html
3.1.6 OSS &amp; Tools Management ,noc.html
>3.2.3 SOC Leadership,noc.html
>4.1.1 Service Event Management,noc.html
>4.1.1 Service Event Management,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Operation%20%26%20Maintenance/Templates/SOC%20Process%20Templates.pptx
>4.1.1 Service Event Management,noc.html
>4.1.2 Service Incident Management,noc.html
>4.1.2 Service Incident Management,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Operation%20%26%20Maintenance/Templates/SOC%20Process%20Templates.pptx
>4.1.2 Service Incident Management,noc.html
>4.1.2 Service Incident Management,noc.html
>4.1.3 Service Problem Management,noc.html
>4.1.4 Service Change Management,noc.html
"<a class=""titulo-h2 anchor-bum color-luminati-2"" name=""item4-2"">4.2 SOC Process Selection &amp; Configuration</a>",noc.html
"<a class=""titulo-h2 anchor-bum color-luminati-2"" name=""item4-2"">4.2 SOC Process Selection &amp; Configuration</a>",noc.html
"<a class=""titulo-h2 anchor-bum color-luminati-2"" name=""item4-2"">4.2 SOC Process Selection &amp; Configuration</a>",noc.html
"<a class=""titulo-h2 anchor-bum color-luminati-2"" name=""item4-2"">4.2 SOC Process Selection &amp; Configuration</a>",noc.html
5.1.1 Service Desk Management Tool,noc.html
5.1.2 Network Performance Management System,noc.html
5.2.2 Support Tools,network_monitoring_architecture.html
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item6-1"">6.1 Staffing Model Assessment</a>",noc.html
6.3.1 SOC Organization Design,noc.html
6.3.1 SOC Organization Design,noc.html
6.3.1 SOC Organization Design,noc.html
6.3.1 SOC Organization Design,noc.html
6.3.2 SOC Organization Dimensioning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Operation%20%26%20Maintenance/Templates/NOC%20%26%20SOC%20Dimensioning%20Tool.xlsx
6.3.2 SOC Organization Dimensioning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Operation%20%26%20Maintenance/Templates/NOC%20%26%20SOC%20Dimensioning%20Tool.xlsx
6.3.2 SOC Organization Dimensioning,https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Operation%20%26%20Maintenance/Templates/NOC%20Dimensioning%20Tool.xlsx
6.3.2 SOC Organization Dimensioning,noc.html
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item6-4"">6.4 Facility Design &amp; Sizing</a>",https://github.com/teleworxllc/NaaSRunBook/blob/gh-pages/Operation%20%26%20Maintenance/Templates/NOC%20%26%20SOC%20Dimensioning%20Tool.xlsx
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item6-4"">6.4 Facility Design &amp; Sizing</a>",noc.html
